vibration,temperature,load,rpm,pressure,humidity,age_years,flow,wear
0.2079,76.57,0.2697,1712.7,5.5805,69.27,1.939,7.993,4.1736
1.9912,41.76,0.5698,1507.7,1.6381,76.3,9.936,35.676,86.3511
1.7885,74.7,0.9041,1597.6,1.831,81.0,11.693,17.897,73.1225
1.841,20.89,0.6785,2597.2,4.821,62.35,1.169,35.911,63.1705
0.5685,80.99,0.2426,847.0,2.5278,81.97,0.658,26.323,10.7003
0.8488,31.36,0.5521,1027.5,3.9268,66.0,0.045,26.734,12.3824
0.5316,51.9,0.5077,2577.2,3.4854,88.82,11.185,19.841,15.7136
0.3373,66.32,0.6659,1974.7,1.7289,86.23,0.886,28.52,11.4471
0.1627,55.55,0.6697,1765.6,4.7712,13.68,8.162,13.524,5.8142
1.0563,31.58,0.9611,1388.1,4.7072,32.75,3.646,14.01,20.3366
0.334,29.74,0.4705,1993.1,1.726,43.05,2.379,35.622,10.5429
0.435,39.92,0.5265,1287.4,2.2989,31.44,2.956,12.131,9.8517
1.7349,23.67,0.6908,2688.4,5.0029,25.04,8.276,18.512,60.1909
1.0201,35.16,0.9091,2612.9,5.5612,84.25,0.216,31.065,21.2827
0.449,29.11,0.7649,1508.1,5.3505,12.13,10.378,16.55,11.241
1.3727,52.54,0.5767,853.9,3.5093,25.46,6.814,17.809,40.8263
0.6051,44.96,0.8517,2752.9,2.837,74.62,2.827,36.821,16.1854
1.1012,61.08,0.5882,1457.1,3.2263,28.98,2.5,12.226,28.1954
0.6376,39.66,0.9708,2245.1,1.8819,31.96,7.857,13.441,21.3915
1.0807,22.37,0.426,2687.9,3.4799,92.24,7.552,36.036,29.0415
1.2942,43.18,0.3019,2556.4,2.1544,74.83,3.817,14.633,40.3763
1.1188,72.86,0.8643,2697.5,1.8097,48.14,4.008,16.571,37.3625
0.8516,37.91,0.4378,1876.1,2.9031,21.58,5.561,35.87,21.8616
1.6025,48.32,0.8779,2653.0,1.3197,32.87,10.926,16.24,63.2576
1.7595,72.85,0.6875,1814.5,3.3518,93.4,6.46,39.894,65.3104
0.4408,48.47,0.6072,1380.4,4.4807,77.24,10.081,33.745,10.9157
0.359,82.1,0.2696,1858.1,4.257,15.94,7.69,34.633,10.0537
0.3151,84.26,0.8291,1537.9,5.8763,70.08,6.745,12.899,10.8108
1.9612,41.74,0.2527,2487.7,5.429,41.96,5.876,12.597,73.1605
1.889,71.52,0.9721,2629.8,4.1688,71.19,8.168,31.34,73.1951
0.5383,37.72,0.9016,1110.6,5.4881,35.11,5.898,33.936,10.4658
1.9428,29.77,0.4424,1161.7,3.2222,21.06,8.712,12.859,75.3446
0.4949,50.65,0.3023,1644.1,4.9944,11.67,2.185,12.209,2.9187
1.0623,62.17,0.9085,1819.2,2.4224,35.13,3.868,13.524,32.5918
1.045,85.49,0.5839,2903.9,3.6335,83.13,10.478,9.816,32.5645
1.8384,30.21,0.2999,2871.7,5.8993,85.75,4.743,19.742,65.3371
0.177,69.87,0.5988,2927.5,3.994,68.07,10.117,22.602,10.4082
0.6992,53.28,0.3975,2405.5,3.534,73.57,11.255,26.986,17.0744
1.24,29.22,0.5263,2289.9,4.9365,26.54,6.942,6.937,32.8238
0.2262,88.09,0.7122,1394.9,2.5618,40.11,1.222,11.727,7.7899
0.5494,68.7,0.9323,1619.8,5.1552,86.43,9.083,9.098,13.3106
0.9836,29.02,0.8407,805.9,1.0927,93.83,7.99,14.45,31.4503
1.7736,83.4,0.3288,2632.5,2.1913,47.66,3.489,11.502,67.7277
1.5458,27.22,0.5819,1407.4,1.8862,75.96,10.356,37.77,57.0684
1.6751,26.49,0.5935,974.4,2.2868,89.34,5.793,18.067,60.338
1.546,43.21,0.9916,1494.3,5.7277,94.75,0.684,9.861,44.3308
1.4447,85.66,0.2695,1511.0,1.1195,35.14,0.816,28.325,45.3473
1.7144,22.31,0.6086,2392.8,2.4937,65.6,2.74,39.052,62.0267
1.3948,84.27,0.9315,812.6,3.872,43.15,7.318,32.804,41.0935
1.4978,62.81,0.5191,1306.0,4.5154,49.53,9.782,27.687,46.9446
0.6731,24.69,0.4094,2772.2,4.8689,49.26,1.188,18.236,9.9097
0.4185,59.8,0.6447,2680.7,2.9164,33.67,0.268,19.115,11.1397
1.5374,52.12,0.4561,2183.9,2.1009,11.62,7.47,15.575,53.317
0.4151,59.48,0.9417,2029.7,5.2618,75.16,4.914,33.218,9.2729
1.847,71.6,0.2678,1289.8,1.6105,69.16,5.3,33.117,70.8705
1.2336,67.5,0.3654,2725.2,1.3251,81.45,9.848,22.129,43.5347
